experiment_id,run_file,node_height_m,target_distance_m,tag_rotation_deg,expected_tags,participating_tags,missing_tags,tag_bearing_deg,valid_position,time,tag,a16,seq,range_cm,pdoa_deg,x_cm,y_cm,clk_ppm,t_us
ground-height-0m-20260825-163632,d024m_r000_run01.csv,0,24,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw05;dw06;dw07;dw08,105,1,2026-08-27T11:47:50.890+0200,dw05,4B92,64,2363,59,-489,2312,3.33,72235
ground-height-0m-20260825-163632,d024m_r000_run01.csv,0,24,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw05;dw06;dw07;dw08,105,1,2026-08-27T11:47:51.091+0200,dw05,4B92,65,2359,57,-516,2301,3.27,72235
ground-height-0m-20260825-163632,d024m_r000_run01.csv,0,24,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw05;dw06;dw07;dw08,105,1,2026-08-27T11:47:51.291+0200,dw05,4B92,66,2365,46,-674,2266,3.21,72235
ground-height-0m-20260825-163632,d024m_r000_run01.csv,0,24,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw05;dw06;dw07;dw08,105,1,2026-08-27T11:47:51.491+0200,dw05,4B92,67,2365,50,-616,2283,3.27,72265
ground-height-0m-20260825-163632,d024m_r000_run01.csv,0,24,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw05;dw06;dw07;dw08,105,1,2026-08-27T11:47:51.690+0200,dw05,4B92,68,2360,55,-550,2295,3.15,72265
ground-height-0m-20260825-163632,d024m_r000_run01.csv,0,24,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw05;dw06;dw07;dw08,105,1,2026-08-27T11:47:51.890+0200,dw05,4B92,69,2360,44,-696,2255,3.15,72265
ground-height-0m-20260825-163632,d024m_r000_run01.csv,0,24,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw05;dw06;dw07;dw08,105,1,2026-08-27T11:47:52.091+0200,dw05,4B92,70,2361,48,-652,2269,3.27,72265
ground-height-0m-20260825-163632,d024m_r000_run01.csv,0,24,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw05;dw06;dw07;dw08,105,1,2026-08-27T11:47:52.291+0200,dw05,4B92,71,2364,68,-357,2337,3.27,72204
ground-height-0m-20260825-163632,d024m_r000_run01.csv,0,24,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw05;dw06;dw07;dw08,105,1,2026-08-27T11:47:52.490+0200,dw05,4B92,72,2359,57,-517,2302,3.21,72235
ground-height-0m-20260825-163632,d024m_r000_run01.csv,0,24,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw05;dw06;dw07;dw08,105,1,2026-08-27T11:47:52.690+0200,dw05,4B92,73,2363,40,-759,2237,3.21,72235
