experiment_id,run_file,node_height_m,target_distance_m,tag_rotation_deg,expected_tags,participating_tags,missing_tags,tag_bearing_deg,valid_position,time,tag,a16,seq,range_cm,pdoa_deg,x_cm,y_cm,clk_ppm,t_us
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:16.820+0200,dw04,0F85,71,2956,16,-1389,2609,2.89,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:17.020+0200,dw04,0F85,72,2956,11,-1482,2558,2.89,62255
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,55,1,2026-08-26T19:36:17.126+0200,dw02,8FB0,113,2955,34,-1071,2753,2.02,68328
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:17.220+0200,dw04,0F85,73,2958,1,-1669,2442,2.95,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:17.420+0200,dw04,0F85,74,2959,23,-1272,2671,2.89,62255
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,55,1,2026-08-26T19:36:17.510+0200,dw02,8FB0,115,2955,48,-801,2845,1.93,52429
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:17.620+0200,dw04,0F85,75,2956,5,-1589,2492,2.77,62255
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:17.820+0200,dw04,0F85,76,2959,13,-1449,2580,2.89,62255
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:18.235+0200,dw04,0F85,78,2958,23,-1262,2674,3.01,77972
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:18.420+0200,dw04,0F85,79,2956,10,-1500,2547,2.89,62347
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,55,1,2026-08-26T19:36:18.510+0200,dw02,8FB0,120,2959,-80,-2959,0,1.87,52429
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:18.620+0200,dw04,0F85,80,2958,8,-1534,2529,2.89,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:18.819+0200,dw04,0F85,81,2958,13,-1455,2576,2.95,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,55,1,2026-08-26T19:36:18.910+0200,dw02,8FB0,122,2961,46,-846,2837,1.87,52398
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:19.019+0200,dw04,0F85,82,2958,11,-1489,2555,2.83,62255
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:19.219+0200,dw04,0F85,83,2959,17,-1374,2621,3.06,62255
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:19.420+0200,dw04,0F85,84,2957,10,-1492,2552,2.83,62255
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:19.619+0200,dw04,0F85,85,2956,20,-1320,2645,2.89,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:19.819+0200,dw04,0F85,86,2961,11,-1489,2559,2.83,62255
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:20.019+0200,dw04,0F85,87,2958,17,-1378,2617,2.89,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:20.219+0200,dw04,0F85,88,2956,14,-1426,2589,2.89,62255
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:20.419+0200,dw04,0F85,89,2954,0,-1700,2415,2.83,62255
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:20.619+0200,dw04,0F85,90,2958,9,-1513,2541,2.83,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:20.819+0200,dw04,0F85,91,2955,2,-1651,2451,2.95,62255
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:21.019+0200,dw04,0F85,92,2955,-7,-1831,2319,2.95,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:21.218+0200,dw04,0F85,93,2960,7,-1559,2516,2.89,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:21.418+0200,dw04,0F85,94,2958,6,-1580,2501,2.83,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:21.619+0200,dw04,0F85,95,2958,16,-1390,2610,2.77,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:21.819+0200,dw04,0F85,96,2957,26,-1217,2695,2.95,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,55,1,2026-08-26T19:36:21.909+0200,dw02,8FB0,4,2966,47,-823,2849,1.75,52398
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:22.018+0200,dw04,0F85,97,2956,18,-1349,2630,2.77,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:22.218+0200,dw04,0F85,98,2963,7,-1556,2521,2.89,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,55,1,2026-08-26T19:36:22.308+0200,dw02,8FB0,6,2961,-86,-2961,0,1.75,52398
